"","Real_Estate","GDP","Per_Capita","Unemployement","Employement","NA","NA","NA","NA","NA"
"cityData.real_2005.which.cityData.city....city..","#REF!","#REF!",1023432.75,1023432.75,793176071,793176071,5.041666667,5.041666667,94.958333333,94.958333333
"cityData.real_2006.which.cityData.city....city..","130058.3333","292833.3333",1077890.75,1077890.75,849172187,849172187,4.116666667,4.116666667,95.883333333,95.883333333
"cityData.real_2007.which.cityData.city....city..","137300","284891.6667",1114698.25,1114698.25,908162948,908162948,3.775,3.775,96.225,96.225
"cityData.real_2008.which.cityData.city....city..","144133.3333","270891.6667",1113446,1113446,927888435,927888435,4.508333333,4.508333333,95.491666667,95.491666667
"cityData.real_2010.which.cityData.city....city..","117933.3333","240533.3333",1204688.5,1204688.5,934270262,934270262,8.125,8.125,91.875,91.875
"cityData.real_2011.which.cityData.city....city..","126591.6667","226666.6667",1229742.75,1229742.75,991352307,991352307,7.483333333,7.483333333,92.516666667,92.516666667
"cityData.real_2012.which.cityData.city....city..","128258.3333","218558.3333",1301040.5,1301040.5,1053660783,1053660783,7.1,7.1,92.9,92.9
"cityData.real_2013.which.cityData.city....city..","135150.0","207216.7",1334929.75,1334929.75,1072125105,1072125105,6.833333333,6.833333333,93.166666667,93.166666667
"cityData.real_2014.which.cityData.city....city..","134058.3","209166.7",1382933,1382933,1119433988,1119433988,6.683333333,6.683333333,93.316666667,93.316666667
"cityData.real_2015.which.cityData.city....city..","135991.7","215666.7",1433531,1433531,1161414144,1161414144,6.491666667,6.491666667,93.508333333,93.508333333
"cityData.real_2016.which.cityData.city....city..","135650.0","228091.7",1478278,1478278,1194090839,1194090839,6.691666667,6.691666667,93.308333333,93.308333333
