"","Real_Estate","GDP","Per_Capita","Unemployement","Employement"
"cityData.real_2005.which.cityData.city....city..","409037.8928",1023432.75,793176071,5.041666667,94.958333333
"cityData.real_2006.which.cityData.city....city..","450875",1077890.75,849172187,4.116666667,95.883333333
"cityData.real_2007.which.cityData.city....city..","428758.3333",1114698.25,908162948,3.775,96.225
"cityData.real_2008.which.cityData.city....city..","400600",1113446,927888435,4.508333333,95.491666667
"cityData.real_2010.which.cityData.city....city..","350633.3333",1204688.5,934270262,8.125,91.875
"cityData.real_2011.which.cityData.city....city..","346608.3333",1229742.75,991352307,7.483333333,92.516666667
"cityData.real_2012.which.cityData.city....city..","333225",1301040.5,1053660783,7.1,92.9
"cityData.real_2013.which.cityData.city....city..","347116.7",1334929.75,1072125105,6.833333333,93.166666667
"cityData.real_2014.which.cityData.city....city..","375508.3",1382933,1119433988,6.683333333,93.316666667
"cityData.real_2015.which.cityData.city....city..","394183.3",1433531,1161414144,6.491666667,93.508333333
"cityData.real_2016.which.cityData.city....city..","412166.7",1478278,1194090839,6.691666667,93.308333333
